date,state,positive,positiveIncrease,negative,hospitalized,death,totalTestResults,mortality_rate,hospitalization_rate,new_deaths,deaths_7day_avg,new_cases,cases_7day_avg
2020-01-13,WA,165155.96925990676,0,848224.6220466517,9262.76247779034,3682.216859006523,2186935.7505093627,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,-1400.291049863654,-1415.0071004243282
2020-01-14,WA,0.0,0,848224.6220466517,9262.76247779034,3682.216859006523,2186935.7505093627,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,0.0,-0.2857142857142857
2020-01-15,WA,0.0,0,848224.6220466517,9262.76247779034,3682.216859006523,2186935.7505093627,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,0.0,-0.2857142857142857
2020-01-16,WA,0.0,0,848224.6220466517,9262.76247779034,3682.216859006523,2186935.7505093627,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,0.0,-0.2857142857142857
2020-01-17,WA,0.0,0,848224.6220466517,9262.76247779034,3682.216859006523,2186935.7505093627,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,0.0,-0.2857142857142857
2020-01-18,WA,0.0,0,848224.6220466517,9262.76247779034,3682.216859006523,2186935.7505093627,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,-1.0,-0.2857142857142857
2020-01-19,WA,1.0,1,848224.6220466517,9262.76247779034,3682.216859006523,2186935.7505093627,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,0.0,-0.14285714285714285
2020-01-20,WA,1.0,0,848224.6220466517,9262.76247779034,3682.216859006523,2186935.7505093627,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,-1.0,-0.14285714285714285
2020-01-21,WA,2.0,1,848224.6220466517,9262.76247779034,3682.216859006523,2186935.7505093627,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,0.0,0.0
2020-01-22,WA,2.0,0,848224.6220466517,9262.76247779034,3682.216859006523,0.0,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,0.0,0.0
2020-01-22,MA,165155.96925990676,0,848224.6220466517,9262.76247779034,3682.216859006523,1.0,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,-1400.291049863654,-1415.0071004243282
2020-01-23,WA,2.0,0,848224.6220466517,9262.76247779034,3682.216859006523,0.0,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,0.0,0.0
2020-01-23,MA,165155.96925990676,0,848224.6220466517,9262.76247779034,3682.216859006523,2.0,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,-1400.291049863654,-1415.0071004243282
2020-01-24,MA,165155.96925990676,0,848224.6220466517,9262.76247779034,3682.216859006523,2.0,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,-1400.291049863654,-1415.0071004243282
2020-01-24,WA,2.0,0,848224.6220466517,9262.76247779034,3682.216859006523,0.0,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,0.0,0.0
2020-01-25,WA,2.0,0,848224.6220466517,9262.76247779034,3682.216859006523,0.0,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,0.0,0.0
2020-01-25,MA,165155.96925990676,0,848224.6220466517,9262.76247779034,3682.216859006523,2.0,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,-1400.291049863654,-1415.0071004243282
2020-01-26,WA,2.0,0,848224.6220466517,9262.76247779034,3682.216859006523,0.0,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,0.0,0.0
2020-01-26,MA,165155.96925990676,0,848224.6220466517,9262.76247779034,3682.216859006523,2.0,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,-1400.291049863654,-1415.0071004243282
2020-01-27,MA,165155.96925990676,0,848224.6220466517,9262.76247779034,3682.216859006523,3.0,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,-1400.291049863654,-1415.0071004243282
2020-01-27,WA,2.0,0,848224.6220466517,9262.76247779034,3682.216859006523,0.0,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,0.0,-0.14285714285714285
2020-01-27,VA,165155.96925990676,0,848224.6220466517,9262.76247779034,3682.216859006523,2186935.7505093627,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,-1400.291049863654,-1415.0071004243282
2020-01-28,MA,165155.96925990676,0,848224.6220466517,9262.76247779034,3682.216859006523,3.0,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,-1400.291049863654,-1415.0071004243282
2020-01-28,WA,2.0,0,848224.6220466517,9262.76247779034,3682.216859006523,0.0,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,0.0,-0.14285714285714285
2020-01-28,VA,165155.96925990676,0,848224.6220466517,9262.76247779034,3682.216859006523,2186935.7505093627,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,-1400.291049863654,-1415.0071004243282
2020-01-29,WA,2.0,0,848224.6220466517,9262.76247779034,3682.216859006523,0.0,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,0.0,-0.14285714285714285
2020-01-29,VA,165155.96925990676,0,848224.6220466517,9262.76247779034,3682.216859006523,2186935.7505093627,2.7639515468141775,9.16444884435106,-25.918134245748213,-26.10887208809207,-1400.291049863654,-1415.0071004243282
